TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in £m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
ANCR,ANIMALCARE GROUP PLC,ORD 20P,GB0032350695,SHRS,Health Care,Healthcare,15/01/2008,United Kingdom,GBX,£173.75,AIM,,ASQ1,AMQ1
ANP,ANPARIO PLC,ORD 23P,GB00B3NWT178,SHRS,Health Care,Healthcare,04/10/2010,United Kingdom,GBX,£112.59,AIM,,ASX1,AIMP
70GD,ANTOFAGASTA PLC,5% CUM PRF #1,GB0000455849,SHRS,Basic Materials,Basic Resources,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,SSX4,SXSN
ANTO,ANTOFAGASTA PLC,ORD 5P,GB0000456144,SHRS,Basic Materials,Basic Resources,08/03/2004,United Kingdom,GBX,"£9,178.33",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
AOR,AORTECH INTERNATIONAL PLC,ORD 5P,GB0033360586,SHRS,Health Care,Healthcare,01/09/2003,United Kingdom,GBX,£2.92,AIM,,ASX1,AIMP
AO.,AO WORLD PLC,ORD 0.25P,GB00BJTNFH41,SHRS,Consumer Services,Retail,01/03/2014,United Kingdom,GBX,£646.89,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
APAX,APAX GLOBAL ALPHA LIMITED,ORD NPV,GG00BWWYMV85,SHRS,Financials,Financial Services,15/06/2015,Guernsey,GBX,£724.37,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
APC,APC TECHNOLOGY GROUP PLC,ORD 2P,GB0000373984,SHRS,Industrials,Industrial Goods & Services,23/12/2004,United Kingdom,GBX,£11.13,AIM,,ASX1,AIMP
APGN,APPLEGREEN PLC,ORD EUR0.01,IE00BXC8D038,SHRS,Consumer Services,Retail,19/06/2015,Ireland,GBX,£470.61,AIM,,ASQ1,AMQ1
AGM,APPLIED GRAPHENE MATERIALS PLC,ORD 2P,GB00BFSSB742,SHRS,Basic Materials,Chemicals,20/11/2013,United Kingdom,GBX,£24.96,AIM,,ASQ1,AMQ1
APPS,APPSCATTER GROUP PLC,ORD 5P,GB00BF54H884,SHRS,Technology,Technology,05/09/2017,United Kingdom,GBX,£40.43,AIM,,ASQ1,AMQ1
APQ,APQ GLOBAL LIMITED,ORD NPV,GG00BZ6VP173,SHRS,Financials,Financial Services,26/08/2016,Guernsey,GBX,£79.23,AIM,,ASQ1,AMQ1
AQSG,AQUILA SERVICES GROUP PLC,ORD 5P,GB00BPYP3Q26,SHRS,Financials,Financial Services,28/08/2014,United Kingdom,GBX,£14.99,MAIN MARKET,Standard Shares,SSQ3,SQS3
ARBB,ARBUTHNOT BANKING GROUP PLC,ORD 1P,GB0007922338,SHRS,Financials,Financial Services,27/06/2005,United Kingdom,GBX,£206.21,AIM,,AMSM,ASM6
ARCM,ARC MINERALS LIMITED,ORDS NPV (DI),VGG045791016,SHRS,Basic Materials,Basic Resources,22/01/2018,British Virgin Islands,GBX,£7.40,AIM,,ASX1,AIMP
ARC,ARCONTECH GROUP PLC,ORD GBP0.125,GB00BDBBJZ03,SHRS,Technology,Technology,28/09/2016,United Kingdom,GBX,£7.94,AIM,,ASX1,AIMP
ARDN,ARDEN PARTNERS PLC,ORD 10P,GB00B15CTY44,SHRS,Financials,Financial Services,19/07/2006,United Kingdom,GBX,£15.19,AIM,,ASX1,AIMP
ARE,ARENA EVENTS GROUP PLC,ORD 1P,GB00BF0HYJ24,SHRS,Consumer Services,Travel & Leisure,25/07/2017,United Kingdom,GBX,£66.78,AIM,,ASQ1,AMQ1
ARGO,ARGO GROUP LIMITED,ORD USD0.01,IM00B2RDSS92,SHRS,Financials,Financial Services,18/11/2008,Isle of Man,GBX,£8.11,AIM,,ASX1,AIMP
ARG,ARGOS RESOURCES LIMITED,ORD 2P (DI),FK0114538241,SHRS,Oil & Gas,Oil & Gas,29/07/2010,Falkland Islands,GBX,£8.90,AIM,,ASQ1,AMQ1
AAU,ARIANA RESOURCES PLC,ORD 0.1P,GB00B085SD50,SHRS,Basic Materials,Basic Resources,28/07/2005,United Kingdom,GBX,£16.43,AIM,,ASQ1,AMQ1
AGQ,ARIAN SILVER CORPORATION,COM SHS NPV (DI),VGG0472G1147,SHRS,Basic Materials,Basic Resources,03/09/2013,British Virgin Islands,GBX,£1.00,AIM,,ASX1,AIMP
ARIX,ARIX BIOSCIENCE PLC,ORD 0.001P,GB00BD045071,SHRS,Financials,Financial Services,17/02/2017,United Kingdom,GBX,£182.69,MAIN MARKET,Standard Shares,SSQ3,SQS3
ACP,ARMADALE CAPITAL PLC,ORD 0.1P,GB00BYMSY631,SHRS,Utilities,Utilities,23/06/2015,United Kingdom,GBX,£5.50,AIM,,ASX1,AIMP
ARO,ARRICANO REAL ESTATE PLC,ORD EUR0.0005 (DI),CY0102941610,SHRS,Financials,Real Estate,12/09/2013,Cyprus,USD,£32.68,AIM,,ASQ1,AMQ1
ARW,ARROW GLOBAL GROUP PLC,ORD 1P,GB00BDGTXM47,SHRS,Financials,Financial Services,11/10/2013,United Kingdom,GBX,£716.84,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ATS,ARTEMIS ALPHA TRUST PLC,ORD 1P,GB0004355946,SHRS,Financials,Financial Services,16/12/2008,United Kingdom,GBX,£131.14,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ATSS,ARTEMIS ALPHA TRUST PLC,SUB SHS 1P,GB00B5SLGR82,SHRS,Financials,Financial Services,13/12/2010,United Kingdom,GBX,£0.01,MAIN MARKET,,SSX3,SQSL
AAM,ARTEMIS VCT PLC,ORD 10P,GB00B02WQ947,SHRS,Financials,Financial Services,20/12/2005,United Kingdom,GBX,£36.14,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ARTA,ARTILIUM PLC,ORD 5P,GB00B1L7NQ30,SHRS,Technology,Technology,12/06/2007,United Kingdom,GBX,£51.67,AIM,,ASQ1,AMQ1
ASCL,ASCENTIAL PLC,ORD 1P,GB00BYM8GJ06,SHRS,Consumer Services,Media,12/02/2016,United Kingdom,GBX,"£1,455.85",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AST,ASCENT RESOURCES PLC,ORD 0.2P,GB00BZ16J374,SHRS,Oil & Gas,Oil & Gas,01/12/2015,United Kingdom,GBX,£28.93,AIM,,ASQ1,AMQ1
ASPL,ASEANA PROPERTIES LIMITED,ORD USD0.05,JE00B1RZDJ41,SHRS,Financials,Real Estate,05/04/2007,Jersey,USD,£74.05,MAIN MARKET,Standard Shares,SSX3,SQSL
ASH,ASHLEY HOUSE PLC,ORD 1P,GB00B1KKCZ55,SHRS,Industrials,Construction & Materials,20/03/2007,United Kingdom,GBX,£6.72,AIM,,ASX1,AIMP
ALY,ASHLEY (LAURA) HOLDINGS PLC,ORD 5P,GB0000533728,SHRS,Consumer Services,Retail,02/12/2005,United Kingdom,GBX,£48.32,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
AGOL,ASHMORE GLOBAL OPPORTUNITIES LIMITED,ORD NPV (GBP),GG00BZ60M912,SHRS,Financials,Financial Services,04/10/2017,Guernsey,GBP,£8.67,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
AGOU,ASHMORE GLOBAL OPPORTUNITIES LIMITED,ORD NPV (USD),GG00BZ60MQ84,SHRS,Financials,Financial Services,04/10/2017,Guernsey,USD,£19.82,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ASHM,ASHMORE GROUP PLC,ORD 0.01P,GB00B132NW22,SHRS,Financials,Financial Services,18/12/2006,United Kingdom,GBX,"£3,044.53",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BC24,ASHPOL PLC,10% CUM PRF #1,GB0000201946,SHRS,,,28/06/2002,United Kingdom,GBX,,MAIN MARKET,Standard Shares,MISL,STBL
AHT,ASHTEAD GROUP PLC,ORD 10P,GB0000536739,SHRS,Industrials,Industrial Goods & Services,19/09/2005,United Kingdom,GBX,"£10,459.23",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
ARS,ASIAMET RESOURCES LIMITED,COM SHS USD0.01 (DI),BM04521V1038,SHRS,Basic Materials,Basic Resources,27/07/2015,Bermuda,GBX,£85.68,AIM,,ASQ1,AMQ1
ASC,ASOS PLC,ORD 3.5P,GB0030927254,SHRS,Consumer Services,Retail,18/12/2007,United Kingdom,GBX,"£6,217.04",AIM,,AMSM,AS50
ASTO,ASSETCO PLC,ORD 10P,GB00B42VYZ16,SHRS,Industrials,Industrial Goods & Services,30/09/2011,United Kingdom,GBX,£35.41,AIM,,ASQ1,AMQ1
ASBE,ASSOCIATED BRITISH ENGINEERING PLC,ORD 2.5P,GB0007395642,SHRS,Industrials,Industrial Goods & Services,14/02/2000,United Kingdom,GBX,£0.82,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
ABF,ASSOCIATED BRITISH FOODS PLC,ORD 5 15/22P,GB0006731235,SHRS,Consumer Goods,Food & Beverage,17/04/2001,United Kingdom,GBX,"£21,636.46",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
AGR,ASSURA PLC,ORD 10P,GB00BVGBWW93,SHRS,Financials,Real Estate,28/01/2015,United Kingdom,GBX,"£1,468.00",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AZN,ASTRAZENECA PLC,ORD SHS $0.25,GB0009895292,SHRS,Health Care,Healthcare,13/01/2006,United Kingdom,GBX,"£61,873.92",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
ATYM,ATALAYA MINING PLC,ORD 7.5P,CY0106002112,SHRS,Basic Materials,Basic Resources,21/10/2015,Cyprus,GBX,£251.57,AIM,,ASQ1,AMQ1
ATY,ATHELNEY TRUST PLC,ORD 25P,GB0000609296,SHRS,Financials,Financial Services,23/04/2007,United Kingdom,GBX,£5.65,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AJG,ATLANTIS JAPAN GROWTH FUND LD,ORD NPV,GG00B61ND550,SHRS,Financials,Financial Services,16/12/2010,Guernsey,GBX,£123.30,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ARL,ATLANTIS RESOURCES LIMITED,ORD NPV (DI),SG9999011118,SHRS,Oil & Gas,Oil & Gas,20/02/2014,Singapore,GBX,£44.40,AIM,,ASQ1,AMQ1
ATMA,ATLAS MARA LIMITED,ORD NPV (DI),VGG0697K1066,SHRS,Financials,Financial Services,20/12/2013,British Virgin Islands,USD,£328.79,MAIN MARKET,Standard Shares,SSMU,SMEV
ATQT,ATTRAQT GROUP PLC,ORD 1P,GB00BMJJFZ18,SHRS,Technology,Technology,19/08/2014,United Kingdom,GBX,£30.85,AIM,,ASQ1,AMQ1
AUCT,AUCTUS GROWTH PLC,ORD GBP0.10,GB00BNGMVP25,SHRS,Financials,Financial Services,22/08/2014,United Kingdom,GBX,£0.93,MAIN MARKET,Standard Shares,SSX3,SQCL
BOOM,AUDIOBOOM GROUP PLC,ORD SHS NPV,JE00B5NFKB77,SHRS,Consumer Services,Media,01/04/2011,Jersey,GBX,£32.11,AIM,,ASQ1,AMQ1
AUG,AUGEAN PLC,ORD 10P,GB00B02H2F76,SHRS,Industrials,Industrial Goods & Services,02/12/2005,United Kingdom,GBX,£28.00,AIM,,ASQ1,AMQ1
AUK,AUKETT SWANKE GROUP PLC,ORD 1P,GB0000617950,SHRS,Industrials,Construction & Materials,25/04/2006,United Kingdom,GBX,£4.05,AIM,,ASX1,AIMP
AURA,AURA ENERGY LIMITED,ORD NPV (DI),AU000000AEE7,SHRS,Basic Materials,Basic Resources,12/09/2016,Australia,GBX,£12.69,AIM,,ASQ1,AMQ1
ARR,AURORA INVESTMENT TRUST PLC,ORD 25P,GB0000633262,SHRS,Financials,Financial Services,10/09/1999,United Kingdom,GBX,£92.57,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AUTG,AUTINS GROUP PLC,ORD GBP0.02,GB00BD37ZH08,SHRS,Consumer Goods,Automobiles & Parts,22/08/2016,United Kingdom,GBX,£25.42,AIM,,ASQ1,AMQ1
AUTO,AUTO TRADER GROUP PLC,ORD 1P,GB00BVYVFW23,SHRS,Consumer Services,Media,24/03/2015,United Kingdom,GBX,"£3,448.30",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AVCT,AVACTA GROUP PLC,ORD 10P,GB00BYYW9G87,SHRS,Health Care,Healthcare,26/01/2016,United Kingdom,GBX,£44.84,AIM,,ASX1,AIMP
AVN,AVANTI COMMUNICATIONS GROUP PLC,ORD 1P,GB00B1VCNQ84,SHRS,Telecommunications,Telecommunications,17/03/2009,United Kingdom,GBX,£15.16,AIM,,AMSM,ASM7
AVAP,AVATION PLC,ORD 1P,GB00B196F554,SHRS,Industrials,Industrial Goods & Services,06/10/2010,United Kingdom,GBX,£151.53,MAIN MARKET,Standard Shares,SSQ3,SQS3
ASO,AVESORO RESOURCES INC.,ORD NPV (DI),CA05366A3029,SHRS,Basic Materials,Basic Resources,24/01/2018,Canada,GBX,£169.24,AIM,,ASX1,AIMP
AVV,AVEVA GROUP PLC,ORD 3 5/9P,GB00BBG9VN75,SHRS,Technology,Technology,15/07/2013,United Kingdom,GBX,"£1,910.83",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AVG,AVINGTRANS PLC,ORD 5P,GB0009188797,SHRS,Industrials,Industrial Goods & Services,24/03/2005,United Kingdom,GBX,£69.88,AIM,,ASQ1,AMQ1
AV.,AVIVA PLC,ORD 25P,GB0002162385,SHRS,Financials,Insurance,23/09/1997,United Kingdom,GBX,"£20,593.05",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
AV.A,AVIVA PLC,8 3/4% CUM IRRD PRF #1,GB0002124963,SHRS,Financials,Insurance,13/12/2004,United Kingdom,GBX,£175.50,MAIN MARKET,Standard Shares,SSQ3,SQS3
AV.B,AVIVA PLC,8 3/8% CUM IRRD PRF #1,GB0002114154,SHRS,Financials,Insurance,13/12/2004,United Kingdom,GBX,£168.00,MAIN MARKET,Standard Shares,SSQ3,SQS3
AVM,AVOCET MINING PLC,ORD 1P,GB00BZBVR613,SHRS,Basic Materials,Basic Resources,10/06/2016,United Kingdom,GBX,£3.61,MAIN MARKET,Standard Shares,SSMU,SMEV
AVON,AVON RUBBER PLC,ORD #1,GB0000667013,SHRS,Industrials,Industrial Goods & Services,10/09/1999,United Kingdom,GBX,£389.34,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
APT,AXA PROPERTY TRUST LIMITED,ORD NPV,GG00BYW5PW74,SHRS,Financials,Real Estate,26/06/2017,Guernsey,GBX,£13.16,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
AXI,AXIOM EUROPEAN FINANCIAL DEBT FUND LIMITED,ORD NPV,GG00BTC2K735,SHRS,,,05/11/2015,Guernsey,GBX,£82.46,MAIN MARKET - SFS,,SFM2,SFQQ
BAB,BABCOCK INTERNATIONAL GROUP PLC,ORD 60P,GB0009697037,SHRS,Industrials,Industrial Goods & Services,15/07/2005,United Kingdom,GBX,"£3,468.39",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BCN,BACANORA MINERALS LTD,COM SHS NPV (DI),CA05634Q1054,SHRS,Basic Materials,Basic Resources,25/07/2014,Canada,GBX,£159.51,AIM,,ASQ1,AMQ1
BA.,BAE SYSTEMS PLC,ORD 2.5P,GB0002634946,SHRS,Industrials,Industrial Goods & Services,05/05/1998,United Kingdom,GBX,"£18,926.07",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
BAGR,BAGIR GROUP LTD.,ORD ILS0.04 (DI),IL0011317216,SHRS,Consumer Goods,Personal & Household Goods,15/04/2014,Israel,GBX,£6.99,AIM,,ASQ1,AMQ1
BPC,BAHAMAS PETROLEUM COMPANY PLC,ORD 0.002P,IM00B3NTV894,SHRS,Oil & Gas,Oil & Gas,16/06/2010,Isle of Man,GBX,£13.97,AIM,,ASQ1,AMQ1
BLEY,BAILEY (C.H.) PLC,ORD 10P,GB00B6SCF932,SHRS,Industrials,Industrial Goods & Services,23/01/2012,United Kingdom,GBX,£10.91,AIM,,ASQ1,AMQ1
BGFD,BAILLIE GIFFORD JAPAN TRUST PLC,ORD 5P,GB0000485838,SHRS,Financials,Financial Services,02/12/2005,United Kingdom,GBX,£755.99,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
BGS,BAILLIE GIFFORD SHIN NIPPON PLC,ORD 10P,GB0000706274,SHRS,Financials,Financial Services,20/06/2006,United Kingdom,GBX,£435.97,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
BSRT,BAKER STEEL RESOURCES TRUST LIMITED,ORD NPV,GG00B6686L20,SHRS,Financials,Financial Services,28/04/2010,Guernsey,GBX,£59.22,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BAKK,BAKKAVOR GROUP PLC,ORD 2P,GB00BF8J3Z99,SHRS,Consumer Goods,Food & Beverage,16/11/2017,United Kingdom,GBX,"£1,228.38",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
BBY,BALFOUR BEATTY PLC,ORD 50P,GB0000961622,SHRS,Industrials,Construction & Materials,18/06/2001,United Kingdom,GBX,"£1,948.51",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BBYB,BALFOUR BEATTY PLC,10.75P CUM CNV RED PRF 1P,GB0000978204,SHRS,Industrials,Construction & Materials,16/04/1996,United Kingdom,GBX,£125.82,MAIN MARKET,Standard Shares,SSX3,SQCL
BVA,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,ORD EUR0.49,ES0113211835,SHRS,Financials,Banks,07/11/2007,Spain,EUR,"£44,200.58",MAIN MARKET,Standard Shares,SSMU,SMEV
BNC,BANCO SANTANDER S.A.,ORD EUR0.50 (CDI),ES0113900J37,SHRS,Financials,Banks,16/10/2006,Spain,GBX,"£84,392.08",MAIN MARKET,Standard Shares,SSMU,SMEU
BGO,BANGO PLC,ORD 20P,GB00B0BRN552,SHRS,Technology,Technology,30/06/2005,United Kingdom,GBX,£141.64,AIM,,ASQ1,AMQ1
BNKR,BANKERS INVESTMENT TRUST PLC,ORD 25P,GB0000767003,SHRS,Financials,Financial Services,31/10/2003,United Kingdom,GBX,"£1,087.52",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
BOCH,BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,ORD EUR0.10,IE00BD5B1Y92,SHRS,Financials,Banks,19/01/2017,Ireland,EUR,£938.12,MAIN MARKET,Standard Shares,SSMU,SMEU
BKIC,BANK OF IRELAND (GOVERNOR & COMPANY OF THE),NON-CUM PRF'A'#1&#9 LIQUIDATION,IE0000730808,SHRS,Financials,Banks,13/12/2004,United Kingdom,GBP,£34.24,MAIN MARKET,Standard Debt,SSX4,SXSN
BKIE,BANK OF IRELAND (GOVERNOR & COMPANY OF THE),UTS NON-CUM EUR PREF STK EUR1.27 'A',IE0000730790,SHRS,Financials,Banks,23/08/2016,United Kingdom,EUR,,MAIN MARKET,Standard Debt,SSX4,SXSN
BIRG,BANK OF IRELAND GROUP PLC,ORD EUR1.00,IE00BD1RP616,SHRS,Financials,Banks,10/07/2017,Ireland,EUR,"£7,447.19",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
BARC,BARCLAYS PLC,ORD 25P,GB0031348658,SHRS,Financials,Banks,13/01/2006,United Kingdom,GBX,"£34,110.56",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
BEE,BARING EMERGING EUROPE PLC,ORD 10P,GB0032273343,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£116.37,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
BWO,BARLOWORLD LD,ORD R0.05,ZAE000026639,SHRS,Industrials,Industrial Goods & Services,27/09/2004,South Africa,GBX,"£1,254.89",MAIN MARKET,Standard Shares,SSX4,SXSN
BOIL,BARON OIL PLC,ORD 0.025P,GB00B01QGH57,SHRS,Oil & Gas,Oil & Gas,13/03/2007,United Kingdom,GBX,£3.79,AIM,,ASQ1,AMQ1
BMD,BARONSMEAD SECOND VENTURE TRUST PLC,ORD 10P,GB0030028103,SHRS,Financials,Financial Services,30/01/2001,United Kingdom,GBX,£190.92,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BVT,BARONSMEAD VENTURE TRUST PLC,ORD 10P,GB0002631934,SHRS,Financials,Financial Services,13/09/1999,United Kingdom,GBX,£171.85,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BAG,BARR (A.G.) PLC,ORD 4 1/6P,GB00B6XZKY75,SHRS,Consumer Goods,Food & Beverage,28/05/2012,United Kingdom,GBX,£740.50,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BDEV,BARRATT DEVELOPMENTS PLC,ORD 10P,GB0000811801,SHRS,Consumer Goods,Personal & Household Goods,18/06/2007,United Kingdom,GBX,"£5,925.12",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BSE,BASE RESOURCES LIMITED,ORD NPV (DI),AU000000BSE5,SHRS,Basic Materials,Basic Resources,08/01/2013,Australia,GBX,£156.91,AIM,,ASQ1,AMQ1
BFA,BASF SE,BASF SE REG SHS,DE000BASF111,SHRS,Basic Materials,Chemicals,02/08/2010,Germany,EUR,"£75,947.08",MAIN MARKET,Standard Shares,SSMU,SMEV
BASK,BASKERVILLE CAPITAL PLC,ORD GBP0.005,GB00BDZRYX75,SHRS,Financials,Financial Services,22/09/2017,United Kingdom,GBX,£2.39,MAIN MARKET,Standard Shares,SSQ3,SQS3
BVC,BATM ADVANCED COMMUNICATIONS LD,ORD ILS0.01,IL0010849045,SHRS,Technology,Technology,19/06/2006,Israel,GBX,£103.61,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
BBA,BBA AVIATION PLC,ORD 29 16/21P,GB00B1FP8915,SHRS,Industrials,Industrial Goods & Services,17/11/2006,United Kingdom,GBX,"£3,629.92",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BBGI,BBGI SICAV S.A.,ORD NPV (DI),LU0686550053,SHRS,Financials,Financial Services,21/12/2011,Luxembourg,GBX,£656.37,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
BBH,BB HEALTHCARE TRUST PLC,RED ORD 1P,GB00BZCNLL95,SHRS,Financials,Financial Services,02/12/2016,United Kingdom,GBX,£307.56,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
77GD,BBVA CAPITAL FUNDING LD,'A'9% N-CUM GTD N.VTG DM EURO PRF(BR),KYG089961117,SHRS,,,17/03/2010,Cayman Islands,EUR,,MAIN MARKET,Standard Shares,SSX4,SXSN
BCA,BCA MARKETPLACE PLC,ORD £0.01,GB00BP0S1D85,SHRS,Industrials,Industrial Goods & Services,10/11/2014,United Kingdom,GBX,"£1,510.39",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BCRE,BCRE - BRACK CAPITAL REAL ESTATE INVESTMENTS N.V.,ORD EUR0.01 (DI),NL0010763611,SHRS,Financials,Real Estate,28/05/2014,Netherlands,EUR,£119.20,MAIN MARKET,Standard Shares,SSQ3,SQS3
BEZ,BEAZLEY PLC,ORD 5P,GB00BYQ0JC66,SHRS,Financials,Insurance,13/04/2016,United Kingdom,GBX,"£2,791.88",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BKS,BEEKS FINANCIAL CLOUD GROUP PLC,ORD GBP0.00125,GB00BZ0X8W18,SHRS,Technology,Technology,27/11/2017,United Kingdom,GBX,£23.34,AIM,,ASQ1,AMQ1
BEG,BEGBIES TRAYNOR GROUP PLC,ORD 5P,GB00B0305S97,SHRS,Industrials,Industrial Goods & Services,13/06/2006,United Kingdom,GBX,£80.39,AIM,,AMSM,ASM8
BHRD,BE HEARD GROUP PLC,ORD GBP0.01,GB00BT6SJV45,SHRS,Consumer Services,Media,22/12/2014,United Kingdom,GBX,£18.41,AIM,,ASQ1,AMQ1
BWY,BELLWAY PLC,ORD 12.5P,GB0000904986,SHRS,Consumer Goods,Personal & Household Goods,31/10/2003,United Kingdom,GBX,"£4,078.16",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BZM,BELLZONE MINING PLC,ORD NPV,JE00B3N0SJ29,SHRS,Basic Materials,Basic Resources,01/04/2010,Jersey,GBX,£11.21,AIM,,AMSM,AM25
BLV,BELVOIR LETTINGS PLC,ORD 1P,GB00B4QY1P51,SHRS,Financials,Real Estate,21/02/2012,United Kingdom,GBX,£31.62,AIM,,ASQ1,AMQ1
BMK,BENCHMARK HOLDINGS PLC,ORD 0.1P,GB00BGHPT808,SHRS,Health Care,Healthcare,18/12/2013,United Kingdom,GBX,£360.43,AIM,,ASQ1,AMQ1
BEM,BEOWULF MINING PLC,ORD 1P,GB0033163287,SHRS,Basic Materials,Basic Resources,09/05/2005,United Kingdom,GBX,£42.74,AIM,,ASQ1,AMQ1
BKY,BERKELEY ENERGIA LIMITED,ORD NPV (DI),AU000000BKY0,SHRS,Basic Materials,Basic Resources,06/12/2006,Australia,GBX,£125.99,AIM,,ASQ1,AMQ1
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,ORD SHS 5P,GB00B02L3W35,SHRS,Consumer Goods,Personal & Household Goods,26/10/2004,United Kingdom,GBX,"£5,370.57",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
BOTB,BEST OF THE BEST PLC,ORD 5P,GB00B16S3505,SHRS,Consumer Services,Travel & Leisure,19/12/2006,United Kingdom,GBX,£25.74,AIM,,ASQ1,AMQ1
BC12,BETTER CAPITAL PCC LIMITED,ORD GBP1.00 (2012),GG00B4N1RV71,SHRS,Financials,Financial Services,13/01/2012,Guernsey,GBX,£79.51,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BCAP,BETTER CAPITAL PCC LIMITED,ORD GBP1.00 (2009),GG00BYXP9G82,SHRS,Financials,Financial Services,29/06/2017,Guernsey,GBX,£22.22,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
BZT,BEZANT RESOURCES PLC,ORD 0.2P,GB00B1CKQD97,SHRS,Basic Materials,Basic Resources,29/09/2006,United Kingdom,GBX,£2.91,AIM,,ASQ1,AMQ1
BGEO,BGEO GROUP PLC,ORD 1P,GB00B759CR16,SHRS,Financials,Banks,28/02/2012,United Kingdom,GBX,"£1,443.06",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
BHGG,BH GLOBAL LIMITED,ORD NPV GBP,GG00B2QQPT96,SHRS,Financials,Financial Services,22/09/2008,Guernsey,GBX,£277.97,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
BHGU,BH GLOBAL LIMITED,ORD NPV USD,GG00B2QQPS89,SHRS,Financials,Financial Services,22/09/2008,Guernsey,USD,£29.19,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
BHMG,BH MACRO LIMITED,ORD NPV (GBP),GG00B1NP5142,SHRS,Financials,Financial Services,09/03/2007,Guernsey,GBX,£285.13,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
BHMU,BH MACRO LIMITED,ORD NPV (USD),GG00B1NPGV15,SHRS,Financials,Financial Services,09/03/2007,Guernsey,USD,£40.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
